"id","journal","publication_date","article_type","financial_disclosure"
"10.1371/journal.pbio.0050019","PLoS Biology","2007-01-23","Research Article","This work was supported by Human Frontier Science Program grant RG0043/2004-C (to MM and MED), European Community Marie Curie fellowship (to MM and MED), European Community Marie Curie International Reintegration grant MIRG-CT-2004–511273 (to MM), European Community grant IST-2000–28127 (to MED), Telethon Foundation grant GGP02459 (to MED), a grant from Ministero per l'Istruzione, l'Università e la Ricerca (to MED), a grant from the Italian Institute of Technology (to MED), a Royal Society Joint Project grant (to RSP and MM), a Royal Society Research grant (to RSP), a Human Frontier Science Program short-term fellowship (to ALF), a Sloan Foundation award (to ALF), and a Burroughs-Wellcome Foundation Career Award at the Scientific Interface (to ALF). MM is a Ramón y Cajal Research Fellow (Spanish Ministry of Education)."
"10.1371/journal.pbio.0050020","PLoS Biology","2007-01-16","Research Article","The work was supported by a grant from the Human Frontier Science Program, by a Fondo per gli Investimenti della Ricerca di Base grant of the Ministero Istruzione Università, Ricerca, by grant no. 02.00648.ST97 of the Consiglio Nazionale. delle Ricerche, Rome, and by a grant from the European Commission (contract LSHG-CT-2004–502828)."
"10.1371/journal.pbio.0050034","PLoS Biology","2007-01-30","Research Article","This research was supported by the Swiss National Science Foundation (through an individual research grant to US and the National Center of Competence in Research program Frontiers in Genetics), the State of Geneva, the Louis Jeantet Foundation of Medicine, the Bonizzi-Theler Stiftung, and the 6th European Framework Project EUCLOCK. JST is an Investigator at the Howard Hughes Medical Institute."
"10.1371/journal.pbio.0050109","PLoS Biology","2007-04-24","Research Article","This study was supported by [FPR05C3–460] of the 21C Frontier Functional Proteomics Project from the Korean Ministry of Science & Technology."
"10.1371/journal.pbio.0050185","PLoS Biology","2007-07-10","Research Article","This study was supported in part by the Max-Planck Society, National Institutes of Health grant EY-02048 (PBD), and Human Frontier Science Program Grant RGP0067."
"10.1371/journal.pbio.0050232","PLoS Biology","2007-08-28","Research Article","This work was supported by a grant from the US National Institutes of Health (NIH) (GM49883) to JWT. DFVC was supported by European Molecular Biology Organization and Human Frontier Science Program (HFSP) postdoctoral fellowships, by an HFSP and Harvard-Armenise Career Development Award, and by Telethon. JAA was supported by a postdoctoral fellowship from the Damon Runyon Cancer Research Foundation (DRG-1556). SAM was supported by training grants from the NIH (T32GM08646) and the California Institute for Regenerative Medicine (T3–00006). MPS is an Investigator of the Howard Hughes Medical Institute."
"10.1371/journal.pbio.0050268","PLoS Biology","2007-10-02","Research Article","This work was funded with support from the ETH, the Human Frontier Science Program Organization (MLS), and the Nanotechnology Center for Mechanics in Regenerative Medicine (US National Institutes of Health [NIH] grant PN2 EY016586), which participates in the NIH Nanomedicine Development Center Network."
"10.1371/journal.pbio.0050294","PLoS Biology","2007-10-30","Research Article","This research was supported by a junior research group grant (SFB 550/C11) from the German Research Foundation (DFG) and a Career Development Award from the International Human Frontier Science Program Organization (HFSP) to AN."
"10.1371/journal.pbio.0050305","PLoS Biology","2007-11-13","Research Article","This work was supported by Human Frontier Science Program grant RG0043/2004-C, European Community grant IST-2000–28127, Telethon Foundation grant GGP02459, Ministero per l'Istruzione, l'Università e la Ricerca grants 2004059508_002 and 2006050482_003, Regione Friuli Venezia Giulia, and the Italian Institute of Technology."
"10.1371/journal.pbio.0060032","PLoS Biology","2008-02-19","Research Article","Funded by the Swiss National Science Foundation and the National Centers of Competence in Research (NCCR) “Frontiers in Genetics.”"
"10.1371/journal.pbio.0060103","PLoS Biology","2008-04-29","Research Article","FA was supported by the Human Frontiers Science Program Long-Term Fellowship, Short-Term Fellowship, and Career Development Award. ZJH is supported by the National Institute of Neurological Disorders and Stroke, and is a Pew, McKnight, and EJLB Scholar."
"10.1371/journal.pbio.0060109","PLoS Biology","2008-05-13","Research Article","NCC and RMS are supported by K08 grants from the National Heart, Lung, and Blood Institute (NHLBI), GlaxoSmithKline Research & Education Foundation Cardiovascular Awards, and Fellow to Faculty American Heart Associated Postdoctoral Awards. JH is and DB was supported by a Human Frontier Science Project Organization fellowship. RA was supported by the Sarnoff Cardiovascular Research Foundation. This work was supported in part by grants from the Packard Foundation and the NIH (NHLBI) to DYRS."
"10.1371/journal.pbio.0060119","PLoS Biology","2008-05-20","Research Article","SK is a recipient of a Human Frontier Science Program postdoctoral fellowship and JSM is a recipient of an European Molecular Biology Organization long term postdoctoral fellowship. The work was supported in part by National Institutes of Health grants NS44232, NS45713, and GM66778 to MR."
"10.1371/journal.pbio.0060120","PLoS Biology","2008-05-20","Research Article","This research was supported by the Human Frontier Science Program and the Israel Science Foundation."
"10.1371/journal.pbio.0060207","PLoS Biology","2008-08-26","Research Article","The laboratory of CES is supported by Fundação para a Ciência e Tecnologia of Portugal (FCT). Work in the laboratory of HM is supported by grants POCI/SAU-MMO/58353/2004 (POCI2010 and FEDER), PTDC/BIA-BCM/66106/2006, and PTDC/SAU-OBD/66113/2006 from FCT, and the Gulbenkian Programmes for Research Stimulation and Frontiers in the Life Sciences. PAC is support by a postdoctoral grant (SFRH/BPD/20360/2004) and SMP by a doctoral scholarship (SFRH/BD/15244/2004) from FCT."
"10.1371/journal.pbio.0060220","PLoS Biology","2008-08-26","Primer","Our research, upon which this Primer is based, is supported by Human Frontier Science Program grant RG0043/2004-C, European Community FP7 grant BIOTACT (ICT-215910), Ministero per l'Istruzione, l'Università e la Ricerca grant 2006050482_003, Regione Friuli Venezia Giulia, and the Italian Institute of Technology. EA is the recipient of a Long-Term Fellowship from the Human Frontier Science Program."
"10.1371/journal.pbio.0060224","PLoS Biology","2008-09-16","Research Article","This research was supported by Fellowships from Cancer Research UK (JR and NT). During the course of this work, JD was supported by postdoctoral fellowship of the European Molecular Biology Organization (EMBO) and the Human Frontier Science Program. FJ was funded by a studentship from Fundação para a Ciência e a Tecnologia, Programa Doutoral em Biologia Experimental e Biomedicina (PDBEB) (Portugal). BB was funded by the Royal Society, the Ludwig Institute for Cancer Research (LICR), and the EMBO Young Investigator program (YIP)."
"10.1371/journal.pbio.0060230","PLoS Biology","2008-09-23","Research Article","Supported by a Long-Term Fellowship and grant CDA0007/2005-C from the Human Frontier Science Program Organization and HHMI (JP); by grants from Council of Scientific and Industrial Research (CSIR)(38[1064]/03/EMR-II), Indian Council of Medical Research (ICMR) and a grant from the Department of Biotechnology, Government of India (UN); by grant BIO2002–00384 of the Spanish Ministry of Science and Education (PC); by Swiss National Science Foundation (grant 3100A0-101711/1) (EEF); by grants from the Bundesministerium für Bildung und Forschung (BMBF GABI-REGULATORS; DW) and German Israeli Foundation (GIF 824/04; DW); and by the Max Planck Society (DW)."
"10.1371/journal.pbio.0060235","PLoS Biology","2008-09-23","Research Article","This work was supported by Human Frontier Science Project research grant RGP0012/2005 (to NAMM and LD) and the U.S. National Science Foundation grant IOS-0744599 (to JS)."
"10.1371/journal.pbio.0060255","PLoS Biology","2008-10-28","Research Article","This work was supported by the Howard Hughes Medical Institute and by a grant from the National Cancer Institute to POB (R01 CA77097–08). POB is an investigator for the Howard Hughes Medical Institute. DJH was partially supported by National Science Foundation and American Heart Association predoctoral fellowships. DPR was partially supported by a Stanford Graduate Fellowship and by the Stanford Genome Training Program (Grant Number T32 HG00044 from the National Human Genome Research Institute). APG was supported by a Career Development Award from the Human Frontier Science Program Organization."
"10.1371/journal.pbio.0060288","PLoS Biology","2008-11-18","Research Article","This research was supported by individual grants from the Israel Science Foundation to I. Paran, YE, and DZ, and by the European Commission Eu-Sol Project. ZBL is supported by a Long Term Fellowship from the International Human Frontier Science Program Organization"
"10.1371/journal.pbio.0060294","PLoS Biology","2008-11-25","Research Article","This work was supported by the National Institutes of Health grant GM25874 to SL. JT was supported by an EMBO Long Term fellowship and the Human Frontiers Science Program Organization Long Term Fellowship. MLM was supported by a Howard Hughes Medical Institute Research Training Fellowship for Medical Students and research stipends from the Harvard Medical School and the Harvard-MIT Division of Health Sciences and Technology. SL is an investigator of the Howard Hughes Medical Institute."
"10.1371/journal.pbio.0060327","PLoS Biology","2008-12-23","Research Article","EE would like to acknowledge the support of NSERC and CIAR. Work in EK's lab was supported by ARC, ACI Cancéropôle GSO, and ANR grants. RB was supported by the French Research Ministry and ARC fellowships. BS was supported by a fellowship of the Fondation de la Recherche Médicale (FRM) and by the Austrian FWF (Fonds zur Förderung der wissenschaftlichen Forschung). CMH was supported by grants from Louisiana Board of Regents LA BOR, LSU Faculty Research Grant LSU FRG, and the NSF. OC would like to acknowledge the support of the Human Frontier Science Program, CNRS, and INSERM."
"10.1371/journal.pbio.1000008","PLoS Biology","2009-01-06","Research Article","MS was recipient of an Alexander von Humboldt Research Fellowship, CS was supported by a long-term fellowship of the Human Frontiers Science Program, and EH is recipient of grants from the Deutsche Forschungsgemeinschaft (SFB 638/B3) and Fonds der Chemischen Industrie."
"10.1371/journal.pbio.1000013","PLoS Biology","2009-01-13","Research Article","Research in the lab of GC was funded by the CNRS, the Human Frontier Science Program Organization (HFSPO), the European Union Framework 6 Programme (FP 6) (The Epigenome Network of Excellence and STREP 3D Genome), the Ministère Français de la Recherche (ACI BCMS 2004), the Association pour la Recherche sur le Cancer and the Agence Nationale pour la Recherche (ANR–3DEpigenome). BS was supported by a fellowship of the Fondation de la Recherche Médicale (FRM) and by the Austrian Fonds zur Förderung der wissenschaftlichen Forschung (FWF). MP was supported by the European Union FP6 (The Epigenome Network of Excellence) and a European Molecular Biology Organization (EMBO) long-term fellowship (ALTF 958-2006). Research in the lab of AT was supported by the Israel Science Foundation (ISF) converging technologies grant. AT is an Alon fellow. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000020","PLoS Biology","2009-01-27","Research Article","Supported by the Deutsche Forschungsgemeinschaft (DFG SCHI-227/24-2, DFG SCHI-227/20-2, HA-1947/5-2), the Lower Saxony Graduate Program, the Human Frontier Science Program, the National Institute of Health (NIH R01 GM38148), and National Science Foundation Award Number 0531677. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000083","PLoS Biology","2009-04-14","Research Article","FS was supported by a fellowship from the Human Frontier Science Program Organization, and IMC by The Rockefeller University Women and Science Fellowship CEN5300379. This work was supported by grants from the Simons Foundation and National Institutes of Health grants RR00862 (BTC) and RR02220 (BTC). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000105","PLoS Biology","2009-05-05","Research Article","APG was supported by a Career Development Award (CDA0048–2005-C) from the Human Frontier Science Program Organization. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000115","PLoS Biology","2009-05-26","Research Article","This work was funded by the International Human Frontier Science Program; Hungarian Scientific Research Fund; Bolyai Fellowship of the Hungarian Academy of Sciences; Royal Society Wolfson Research Merit Award; and the Dr. Rollin D. Hotchkiss Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000173","PLoS Biology","2009-08-18","Research Article","This work was supported by Human Frontier Science Program grant RGP0127/2001, NWO-VICI grant 918.46.609, Senter Novem BSIK grant 03053 and EU grant FP7, #217148 to CMAP and grant MH046823 from the National Institute of Mental Health to BLM. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000181","PLoS Biology","2009-09-01","Research Article","This research was supported by the Swiss National Foundation (through an individual research grant to U.S. and the National Center of Competence in Research Program Frontiers in Genetics), the State of Geneva, the Louis Jeantet Foundation of Medicine, the Bonizzi-Theler Stiftung, and the 6th European Framework Project EUCLOCK. D. G. received long-term fellowships from The Federation of European Biochemical Societies (FEBS) and The International Human Frontier Science Program Organization (HFSP). Research in A. M.'s laboratory is funded by the Italian Association for Cancer Research (AIRC, Milan, Italy), the European Research Council Starting Independent Grant - IDEAS 2008, the European Community's Seventh Framework Programme FP7/2007 - 20013 under Grant Agreement No. 202272 (LipidomicNet), Italian Ministry of Health and Education (Finanziamenti per la Ricerca di Base), Cariplo Fundation Milan, Telethon Fundation (GGP08259). G. Lo Sasso is a fellow of AIRC-FIRC (Milan, Italy). Thierry Claudel was supported by the SFB LIPOTOX, grant n° F30008-B05, funded by the Austrian Science Foundation (FWF)"
"10.1371/journal.pbio.1000246","PLoS Biology","2009-11-17","Research Article","Support received through a National Institutes of Health (NIH) grant to SEF (P01HD037105). JV was supported by a fellowship from the Human Frontier Science Program (HFSP), AF by a fellowship from the NIH, ML by a fellowship from the Swiss National Science Foundation (PA002-111433), DW by the NIH Medical Scientist Training Program at UCLA/Caltech, and DP by a fellowship from the Summer Undergraduate Research Fellowship (SURF). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000265","PLoS Biology","2009-12-22","Research Article","This work was supported initially by a Jane Coffin Childs postdoctoral fellowship to YJ. Further support was from National Institute of Health grants NS035546 to YJ, NS034307 to EJ, GM024663 to HRH, INSERM Junior Contract to TB, Association FranÃƒ§aise Contre les Myopathies and ANR-07-NEURO-032-01 grants to J-LB, and Human Frontier Science Program long term fellowship to MJ. YBQ is an associate of, and YJ, EJ, and HRH are investigators of the Howard Hughes Medical Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000283","PLoS Biology","2010-01-19","Research Article","CCH, HR, and PvdS are supported through grants from the Netherlands Organization for Scientific Research (NWO-ALW and NWO-CW) (www.nwo.nl). PvdS, MM, and AJRH are supported by Netherlands Proteomics Center (www.netherlandsproteomicscentre.nl). JK is supported by the Netherlands Organization for Health Research and Development (ZonMW-VICI) (www.zonmw.nl). CCH is supported by the Netherlands Organization for Health Research and Development (ZonMW-VIDI, TOP) (www.zonmw.nl), European Science Foundation (European Young Investigators (EURYI) Award) (www.esf.org), and Human Frontier Science Program Career Development Award (HFSP-CDA) (www.hfsp.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000284","PLoS Biology","2010-01-19","Research Article","FRC was supported by National Institutes of Health grant GM078153. EDS was supported by National Science Foundation grant DMR0804721. GC was supported by the Human Frontier Science Program (long-term cross-disciplinary fellowship) and the Centre National de la Recherche Scientifique. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000287","PLoS Biology","2010-01-26","Research Article","This work was funded by National Institutes of Health grants GM68762, CA112967, and ES015339 to MBY, and by the National Cancer Institute's Initiative for Chemical Genetics, National Institutes of Health, under contract no. N01-CO-12400. MVV was supported by a VENI award from the Netherlands Organization for Scientific Research (NWO-ZonMW). AG was supported by a grant from the American Cancer Society #PF-06-286-01-CCG, and RL is supported by Genome Canada through Ontario Genomics Institute and was a Human Frontiers Fellow. HCR was supported by the Deutsche Forschungsgemeinschaft (RE2246/1-1), the Deutsche Nierenstiftung, and the David H. Koch Fund. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000347","PLoS Biology","2010-03-30","Research Article","AD thanks the Pew Program in Biomedical Sciences for support. This work was partially funded by the Consejo Nacional de Ciencia y Tecnologia (083520 to AD), the National Institutes of Health (R01 GM081617 to RK and 5R01 HD037277 to MWK), and the Human Frontiers Science Program (to RK). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000401","PLoS Biology","2010-06-22","Research Article","This work was supported by a National Science Foundation predoctoral fellowship (JEH) and a grant from the National Institutes of Health (GM31105 to JR). MSK was supported by a Human Frontiers of Science Postdoctoral Fellowship, Canadian Institute of Health Research (CIHR) grant MOP-79442, the Michael Smith Foundation for Health Research (MSFHR), and the Canadian Institute for Advanced Research. A.Y. Wang was supported by fellowships from MSFHR and CIHR. TK was supported by a European Molecular Biology Organization (EMBO) long-term post-doctoral fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000414","PLoS Biology","2010-07-06","Research Article","AT was supported by the National Science Foundation Graduate Research Fellowship. Work was supported by the Human Frontiers Science Program, the Howard Hughes Medical Institute, a Career Award at the Scientific Interface from the Burroughs Wellcome Fund, a National Institutes of Health PIONEER award, the Broad Institute, a Sloan Fellowship, National Cancer Institute grant R01 CA119176-01 (AR), by NIGMS grant GM079205, HFSP, and the Burroughs Wellcome Fund (OJR). The funders had no rule in study design, data collection and analysis, or preparation of the manuscript."
"10.1371/journal.pbio.1000420","PLoS Biology","2010-07-13","Research Article","This work was supported by Institució Catalana de Recerca i Estudis Avançats - ICREA, Agència de Gestió d'Ajuts Universitaris i de Recerca - AGAUR (2008FI 01012), Ministerio de ciencia e innovatión (BES-2008-009300), Human Frontier Science Program (0008/2004 C), and Medical Research Council, Molecular Imaging (LSH - CT - 2003 - 503259). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000432","PLoS Biology","2010-07-20","Research Article","This work was supported by Academia Sinica of Taiwan, National Science Council of Taiwan (grant no. NSC96-2628-B-001-016-MY3) and Human Frontier Science Program (grant no. RGY53/2007). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000503","PLoS Biology","2010-10-12","Research Article","This work was supported by the National Institutes of Health (RO1 GM081639 to PS; P30 NS045713, PO1 044232 to MR; F31 NS060584 to SW), a National Science Foundation IGERT training grant (DGE-0549390 to MB and JPR), a Human Frontiers Science Program Long-term Fellowship and Career Development Award (SK), and the Howard Hughes Medical Institute (MR). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000516","PLoS Biology","2010-10-19","Research Article","This work is supported by the International Human Frontier Science Program Organization, by United States Department of Energy grant FG02-88ER13873 (to EMM), and by the Swedish Research Council (to HJ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000530","PLoS Biology","2010-10-26","Research Article","This work was supported by Medical Research Council (MRC, www.mrc.ac.uk), European Research Council (ERC, erc.europa.eu, 206726-CLIP), Human Frontier Science Program (HFSP, www.hfsp.org, RGP0024/2008-C), and Slovenian Research Agency (P2-0209, J2-2197, L2-1112, Z7-3665). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000539","PLoS Biology","2010-11-16","Research Article","TM was funded by the Marie Curie Incoming International Fellowship (MC IIF 221108). SB is supported by an EMBO Fellowship. PH was supported by a Human Frontier Science Program long-term fellowship. VL is supported by Croucher Foundation Fellowship. RGJV was funded by the Marie Curie Outgoing International Fellowship (MOIF CT 2004 002682). This work was supported by grants from the Centre for Biomedical Genetics, The Netherlands Proteomic Centre and the Cancer Consortium. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000557","PLoS Biology","2010-12-07","Research Article","This work was supported by the Berliner Krebsgesellschaft (CSH and BU-Z), Land Berlin (Elsa-Neumann-Stipendium des Landes Berlin, CSH), VolkswagenStiftung (stipend to CSH, grant I/79 989 to AZ), Deutsche Forschungsgemeinschaft (SFB 449/B6/B18 to AZ, BU-Z, GS and OD), Human Frontier Science Program (OD), National Science Foundation and United States Department of Agriculture competitive grant programs (MMM). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000622","PLoS Biology","2011-06-14","Research Article","MJM was supported by Academia Sinica Postdoctoral Fellowship and JYL was funded by Academia Sinica of Taiwan, Taiwan National Science Council (grant NSC99-2321-B-001-031) and Human Frontier Science Program (grant RGY53/2007); WCW and HDH were funded by the National Science Council (Taiwan) (grants NSC-99-2911-I-009-101, NSC 98-2311-B-009-004, and NSC 99-2627-B-009-003). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001057","PLoS Biology","2011-05-03","Research Article","This work was supported by grants from the National Institutes of Health EY015514                     and EY018957 (RHK), EY10542 (WBT), Research to Prevent Blindness (WBT), and the                     Human Frontiers Science Program (JCC). The funders had no role in study design,                     data collection and analysis, decision to publish, or preparation of the                     manuscript."
"10.1371/journal.pbio.1001060","PLoS Biology","2011-05-10","Research Article","Supported by NIH grant NS051255 (A.B.), NIH grants AG011085 and GM054137 (J.W.H.), a National Science Foundation fellowship (N.L.), a Human Frontier Science Program long-term fellowship (Y.I.), and a NIH Ruth L. Kirschstein National Research Service Award (G.G.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001161","PLoS Biology","2011-09-27","Research Article","GRL acknowledges support from the Human Frontier Science Program (grant RGY0067/2008, http://www.hfsp.org/). MFC acknowledges support from ANR-PCV program 2006 (http://www.agence-nationale-recherche.fr/Accueil), the Ligue Nationale contre le Cancer (équipe labellisée, http://www.ligue-cancer.net/) and an ERC advanced grant (ERC 2009-249982-Forcefulactin, http://erc.europa.eu/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001182","PLoS Biology","2011-10-25","Research Article","SystemsX.ch within the framework of the WingX RTD, the Swiss National Science Foundation, the Kantons of Basel-Stadt and Basel-Land and the International Human Frontier Science Program Organization (LT000234-2009) supported this work. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001197","PLoS Biology","2011-11-15","Research Article","Research in the Gurdon laboratory is supported by grants from the Wellcome Trust and the Medical Research Council. PN has been supported by postdoctoral fellowships from the Natural Sciences and Engineering Research Council of Canada and the European Molecular Biology Organization. He is currently a Junior Research Fellow of Wolfson College and supported by a postdoctoral fellowship from the Human Frontier Science Program. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001250","PLoS Biology","2012-01-24","Research Article","The WCE Lab is supported by Wellcome Trust Principal Research Fellowship to WCE 073915/Z/03/Z (The Wellcome Trust: http://www.wellcome.ac.uk/). The Wellcome Trust Centre for Cell Biology is funded by core grants number 077707 and 092076. VA Holds a Career Development Award from the Human Frontier Science Program Organization - CDA00036/2009 (www.hfspo.org)and a fellowship from the Fonds de recherche en santé du Québec. Work in VA's lab was funded by the Canadian Institutes of Health Research (www.cihr-irsc.gc.ca). U.S.E. was supported by NIH grant R01 GM082834. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.0020048","PLoS Computational Biology","2006-05-26","Research Article","CV acknowledges funding by the Boehringer Ingelheim Fonds, the Medical Research Council, and the Human Frontier of Science Program."
"10.1371/journal.pcbi.0020153","PLoS Computational Biology","2006-11-10","Research Article","FPD acknowledges a Howard Hughes Medical Institute predoctoral fellowship. TL and MBK acknowledge Materials Research Science and Engineering Centers of the US National Science Foundation for providing partial funds for support of the MALDI–TOF mass spectrometer in the multiuser mass spectrometry laboratory of the Division of Chemistry and Chemical Engineering at California Institute of Technology. We are also grateful for the support of the US National Institutes of Health grant U54 RR022220, US National Science Foundation grant EIA-032645, Human Frontier Science Program, The Sandler Family Supporting Foundation, Hewlett-Packard, NetApps, IBM, and Intel."
"10.1371/journal.pcbi.0030082","PLoS Computational Biology","2007-05-11","Research Article","This work was supported by the Spanish Ministry of Education and Science, the European Fund for Regional Development, the Volkswagen Foundation, the Fundación Carolina (GDP), and the Human Frontiers Science Foundation (MVSV)."
"10.1371/journal.pcbi.0030236","PLoS Computational Biology","2007-11-30","Research Article","NM thanks the Special Postdoctoral Researchers Program of RIKEN and the Japan–US Brain Research Cooperative Program. BD is a fellow of the Human Frontiers Science Program (HFSP-LT788)."
"10.1371/journal.pcbi.0040001","PLoS Computational Biology","2008-01-04","Research Article","RGE and NSW acknowledge funding from the Human Frontier Science Program (HFSP)."
"10.1371/journal.pcbi.0040023","PLoS Computational Biology","2008-02-08","Research Article","This work was supported by the National Science Foundation's Frontiers in Integrative Biological Research grant FIBR-0527023."
"10.1371/journal.pcbi.0040026","PLoS Computational Biology","2008-01-25","Research Article","This work was part of (i) The BioRange programme of The Netherlands Bioinformatics Centre (NBIC), supported by a BSIK grant through The Netherlands Genomics Initiative (NGI); and (ii) The Kluyver Centre for Genomics of Industrial Fermentation. BP is a Long-Term Fellow of The Human Frontier Science Program Organization."
