"id","journal","publication_date","article_type","financial_disclosure"
"10.1371/journal.pbio.1001034","PLoS Biology","2011-03-29","Research Article","This research was supported by the following grants: EU FP7 2020288 NeuroCypres to CU, ABS, VT (http://www.neurocypres.eu). RFBR and MCB RAS grants to VT (http://www.rfbr.ru and http://www.ras.ru/presidium/documents/directions.aspx?ID=727c26ac-2098-445a-a7ab-344b5bb71165). NIEHS/NIH Intramural Research Program to JY. KULeuven Onderzoekstoelage OT/08/048 to CU. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001084","PLoS Biology","2011-06-21","Research Article","LW is supported by a grant from the United Mitochondrial Disease Foundation (UMDF, http://www.umdf.org/site/c.otJVJ7MMIqE/b.5472191/k.BDB0/Home.htm) and by a FP7-IRG-Marie Curie fellowship. SSL is supported by R01 grant AG024425 from the NIA, Senior Scholar Award in Aging from the Ellison Medical Foundation, and Glenn Award for Research in Biological Mechanisms of Aging from the Glenn Foundation of Medical Research. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001107","PLoS Biology","2011-07-19","Research Article","This work was supported by European Commission FP7 Grant RETICIRC HEALTH-F2-2009-223156 (coordinator: MK) to MK and Dr. R. Weiler. The tilling mutant was generated via a NWO grant to Drs F. van Eeden, R. Plasterk, and D. Zivkovic and a grant by the European Commission LSHG-CT-2003-503496. MK was supported by ALW-NWO, FOM. and ZonMW-NWO. CRS was supported by NWO VENI #916.66.079. GZ was supported in part by SFB 509 “Neurovision.” DGM was supported by NEI grant R01 EY09256 and by the Vanderbilt Vision Research Core P30 EY008126. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001188","PLoS Biology","2011-11-01","Research Article","European Community's Seventh Framework Programme (FP7/ 2007-2013) under the grant CISSTEM, DFG-SFB488. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1001199","PLoS Biology","2011-11-15","Research Article","This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the “Ramón y Cajal” Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinós Postdoctoral Program), the Ramón Areces Foundation (XV), the “Roses Contra el Càncer” Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research–UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association “Le cancer du sein, parlons-en!”, the Dutch Cancer Society (NKI 1998–1854, 2004–3088, and 2007–3756), the Fondazione Italiana per la Ricerca sul Cancro (“Hereditary Tumors”), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and “Progetto Tumori Femminili”), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT “5×1000”), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000321","PLoS Computational Biology","2009-03-20","Research Article","This work was supported by an INRA SPE postdoctoral grant to YG, by Agence Nationale de la Recherche Grant ANR-05-PNRA-1.E7 Aromalim and French-British Grant ANR-BBSRC Sysbio 2007 “Pherosys” to J-PR and PL, and by European grant FP7-ICT 2007 STREP Bio-ICT convergence “Neurochem” to J-PR and YG. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000326","PLoS Computational Biology","2009-03-20","Research Article","This work was funded by NIH NIGMS Grant GM032877 to GC; NSF Arabidopsis 2010 Genome Grant (IOB 0519985) to GC, DS; NSF (DBI0445666) to GC, DS and RG; MILLENIUM NUCLEUS (P06-009F), FONDECYT (1060457), ICGEB (CRPCHI0501) to RG. GK research is supported by a European-FP7-International Outgoing Fellowships (Marie Curie) (AtSYSTM-BIOL; PIOF-GA-2008-220157). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000490","PLoS Computational Biology","2009-08-28","Research Article","PA acknowledges the financial support received from the Spanish Ministerio de Educación y Ciencia through the grants PSE-010000-2007-1 and BIO2007-62426 and the European Commission under FP6 contract LSHG-CT-2005-512028 (3D-Repertoire) and FP7 Grant Agreement 223101(AntiPathoGN). JF-R acknowledges financial support from Spanish Ministerio de Educación y Ciencia grant BIO2008-02882. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000547","PLoS Computational Biology","2009-10-30","Research Article","The research leading to these results has received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under grant agreement 213382 (FUNMOL). This work has also been supported by the grant N N202 0852 33 from the Ministry of Science and Higher Education in Poland and the Center for Theoretical Biological Physics at the UCSD sponsored by the NSF (Grant PHY-0822283). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000562","PLoS Computational Biology","2009-11-13","Research Article","This work was supported by a grant from the Novo Nordisk Foundation and the Novo scholarship programme. The European Research Council has provided financial support to AS under the EU 7th Framework Programme (FP7/2007–2013)/ERC grant agreement 204135. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000569","PLoS Computational Biology","2009-11-20","Research Article","This research was supported by the Initiative and Networking Fund of the Helmholtz Association within the Helmholtz Alliance on Systems Biology (project CoReNe) and by the European Union (mdDANEURODEV FP7-Health-2007-B-222999, and EuTRACC LSHG-CT-2006-037445) (WW). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000701","PLoS Computational Biology","2010-03-12","Research Article","The research leading to these results has received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under the NEUROCHEM grant agreement no. 216916, SYNTHETIC FORAGER grant agreement no. 217148, and under the IST FET Programme (IST-2001.33066). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000702","PLoS Computational Biology","2010-03-05","Research Article","This work is supported by the APO-SYS EU FP7 project. LC, LT, SF, EB and AZ are members of the team “Systems Biology of Cancer,” Equipe labellisée par la Ligue Nationale Contre le Cancer. The study was also funded by the Projet Incitatif Collaboratif “Bioinformatics and Biostatistics of Cancer” at Institut Curie. Work in BZ's laboratory is supported by the Swedish and Stockholm Cancer Societies, the Swedish Childhood Cancer Foundation, the Swedish Research Council, the EC-FP-6 (Oncodeath and Chemores) programs. DT acknowledges the support from the Belgian Federal Science Policy Office: IUAP P6/25 (BioMaGNet, Bioinformatics and Modeling: from Genomes to Networks, 2007–2011). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000791","PLoS Computational Biology","2010-05-20","Research Article","This work was supported by the EU research project Synthetic Forager, FP7 ICT-2007.2.1 #217148 (http://cordis.europa.eu). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000807","PLoS Computational Biology","2010-06-24","Education","This work has been supported by funds provided by the Local Government Junta de Castilla y León (JCyL, ref. project: CSI07A09), by the Spanish Ministry of Science and Innovation (MICINN - ISCiii, ref. projects: PI061153 and PS09/00843) and by the European Commission Research Grant PSIMEx (ref. FP7-HEALTH-2007-223411). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000839","PLoS Computational Biology","2010-07-01","Research Article","DB was initially supported by the BBSRC, then partly by Wellcome VIP funding and the EU-FP7 project E-Flux. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000903","PLoS Computational Biology","2010-09-09","Research Article","Funding was from the Gatsby Charitable Foundation (URB & PD), http://www.gatsby.org.uk/, and the Marie Curie FP7 programme (URB), http://cordis.europa.eu/fp7/people/home_en.html. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000959","PLoS Computational Biology","2010-10-21","Research Article","The research of AF and MM has been supported by the Netherlands Organization for Scientific Research, NWO (VIDI Grant 452-04-351). DH acknowledges partial financial support by the Future and Emerging Technologies program FP7-COSI-ICT of the European Commission through the project QLectives (grant no.: 231200) and by the ETH Competence Center ‘Coping with Crises in Complex Socio-Economic Systems’ (CCSS) through ETH Research Grant CH1-01 08-2. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000977","PLoS Computational Biology","2010-11-04","Research Article","This work was supported by The Israel Science Foundation grants number 502/07 and 1619/07, a fellowship (RS) from the Center for Complexity Sciences, Human Frontiers Science Program, Zlotowski Center for Neuroscience, and the Rich Foundation. MS is supported by the National Institute for Psychobiology in Israel, founded by the Charles E. Smith Family (230-09-2010), and by the Marie Curie International Reintegration Grants (FP7-PEOPLE-IRG-2008). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1000988","PLoS Computational Biology","2010-11-11","Research Article","This research was supported by NIH-NIDCD and EU FP7 SysKid grants and the Crown Human Genome Center at the Weizmann Institute of Science to DL, and by an Emmy Noether Fellowship from the German Research Foundation to JOK. SMW was supported by a Research Fellowship from the Feinberg Graduate School of the Weizmann Institute of Science and a Fellowship from the Bavarian State Ministry of Sciences, Research and the Arts. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1001008","PLoS Computational Biology","2010-11-24","Research Article","This work was supported by the Swiss National Science Foundation (SNF 3100A0-128655), the FP7 framework of the European Union (THINC, HEALTH-2007- 2.3.2-1), the National Institute of Health USA (RO1AI59159), and the Master & Back Program of Sardinia. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1001032","PLoS Computational Biology","2010-12-16","Research Article","This work was funded by the European Commission (FP6-2005-NEST-PATH, No. 043241 - ComplexDis and FP7-2008, No 223367- MultiMod) and the Swedish Research Council. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1001115","PLoS Computational Biology","2011-03-31","Research Article","This work was supported by the European Commission (http://cordis.europa.eu/fp7) Diaprepp Health-F2-2008-202013, Etherpaths KBBE-grant n°222639, Synergy, FP7grant n° 270086; the Spanish Government and the European Union FEDER funds (http://ec.europa.eu/regional_policy/funds/feder/index_es.htm) SAF2008-00164 and Instituto de Salud Carlos III; Spanish Ministry of Science and Innovation & European Regional Development Fund (ERDF) “Una manera de hacer Europa” ISCIII-RTICC (RD06/0020/0046); Generalitat de Catalunya-AGAUR, (http://www.gencat.cat/) 2009SGR1308 and 2009 CTP 00026; Foundation Marato TV3-042010 (http://www.tv3.cat/marato/missio); the National Institutes of Health (http://www.nih.gov/)AG 20899 and U01 DK61058-01; and the Department of Defense W81XWH-06-1-0317. The funders had no role in study design, data collection and analysis,decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002045","PLoS Computational Biology","2011-05-19","Research Article","This work was granted by the European Union (http://cordis.europa.eu/fp7/ict/cognition/), Project ICEA                     (Integrating Cognition, Emotion and Autonomy), N. IST-027819-IP. It was also                     funded by the French National Agency for Research (ANR, http://www.agence-nationale-recherche.fr/), Project EvoNeuro, N.                     ANR-09-EMER-005-01. The funders had no role in study design, data collection and                     analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002105","PLoS Computational Biology","2011-07-21","Research Article","This work was mainly funded by Université Pierre et Marie Curie, http://www.upmc.fr/. Partial financial support by FP7 project FLUMODCONT (n° 20160), FP6 integrated project MOSAR (LSHM-CT-2007-037941). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002205","PLoS Computational Biology","2011-09-29","Research Article","All authors thank the EU FP7 FluModCont project for research funding. NMF additionally thanks the UK Medical Research Council, the Bill and Melinda Gates Foundation and the NIH MIDAS programme for research funding. SM and MA additionally thank the EU FP7 Epiwork project, the Italian Ministry of Health Epi-Int project (Grant no. 8M30) and the Italian Center for the Prevention and Control of Diseases “Messa a punto di strumenti epidemiologici per il monitoraggio dell'influenza in Italia” project for research funding. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002211","PLoS Computational Biology","2011-11-03","Research Article","This paper was written under partial support by the European Union project #FP7-237955 (FACETS-ITN), project #FP7-269921 (BrainScaleS), project #FP7-216593 (SECO), project #FP7-506778 (PASCAL2) and project #FP7-243914 (BRAIN-I-NETS). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002231","PLoS Computational Biology","2011-10-27","Research Article","This research was supported by the Fyssen Foundation (TM), the FP7 European Project Coronet (TM), NICTA Victoria Research Lab (MG), The Bionic Ear Institute (MG). TM and EH thank Gustavo Deco for the time granted to complete this project. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002258","PLoS Computational Biology","2011-11-03","Research Article","This work was funded in part by the European Commission (PolyALA LSHM-CT-2005018675) and Muscular Dystrophy Association (68016) to SMvdM and MDA, European Community's Seventh Framework Programme (FP7/2007–2013), ENGAGE project, grant agreement HEALTH-F4-2007-201413, and the Centre for Medical Systems Biology within the framework of the Netherlands Genomics Initiative (NGI)/Netherlands Organisation for Scientific Research (NWO). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002282","PLoS Computational Biology","2011-11-17","Research Article","This work was funded by MICIIN (Spain) as Plan Nacional (http://www.micinn.es) and as partners of the ERASysBio+ initiative supported under the EU ERA-NET Plus scheme in FP7 (http://www.erasysbio.net/), and by Biociencia program (CAM, Spain) (http://www.madrimasd.org/). A.P-E. acknowledges a FPU fellowship from MICINN (Spain). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pcbi.1002330","PLoS Computational Biology","2012-01-05","Research Article","This research was supported by the FP7 PASCAL II Network of Excellence. NF was supported by PhD scholarships from the University of Sheffield and the University of Manchester. OS was supported by a fellowship from the Volkswagen Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pgen.1000504","PLoS Genetics","2009-06-05","Research Article","Major funding for the work described in this manuscript comes from the Medical Research Council of Great Britain (G9521010D), the British Heart Foundation (PG02/128, FS/05/061/19501), the Wellcome Trust (076113/B/04/Z), The Barts and The London Charity, GlaxoSmithKline, the Faculty of Biology and Medicine of Lausanne, the Swiss National Science Foundation (33CSCO-122661, 3200BO-111361/2, 3100AO-116323/1), the Giorgi-Cavaglieri Foundation, the European Framework Project 6 (EuroDia, AnEuploidy and Hypergenes projects), the EUROSPAN (European Special Populations Research Network) project funded by the European Commission FP6 STRP grant number 018947 (LSHG-CT-2006-01947), the Medical Research Council UK, the Ministry of Science, Education and Sport of the Republic of Croatia (108-1080315-0302, 196-1962766-2751, 196-1962766-2763, 196-1962766-2747), the Helmholtz Zentrum München, the German Federal Ministry of Education and Research, the German National Genome Research Network (NGFN), LMUinnovativ, the Ministry of Health of the Autonomous Province of Bolzano, the South Tyrolean Sparkasse Foundation, The Swedish Natural Sciences Research Council, The Foundation for Strategic Research, the Scottish Executive Health Department, the Royal Society, the EC Sixth Framework Programme (LSHM-CT-2007-037273), AstraZeneca AB, the Knut and Alice Wallenberg Foundation, the National Institute on Aging (NO1-AG-1-2109 to the “SardiNIA-ProgeNIA” team), the Intramural research funding at the National Institute on Aging (NIH), the Ministry of Cultural Affairs (Germany), the Social Ministry of the Federal State of Mecklenburg-Western Pomerania, Siemens Healthcare, the Federal State of Mecklenburg- West Pomerania, the Australian National Health and Medical Research Council (NHMRC), the US National Institutes of Health (AA007535), the European Union FP-5 GenomEUtwin Project (QLG2-CT-2002-01254), the Arthritis Research Campaign, the Chronic Disease Research Foundation, the National Institute for Health Research (NIHR) and the European Community's Seventh Framework Programme (FP7/2007-2013), ENGAGE project, grant agreement HEALTH-F4-2007-201413. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pgen.1000547","PLoS Genetics","2009-07-03","Research Article","These studies were supported by grants from the Dutch Cancer Society (EMCR 2001-2482), the Netherlands Organisation for Scientific Research (NWO/Vici 016.036.636), the BSIK program of the Dutch Government grant 03038 (www.stemcells.nl), and the EU FP6 and FP7 consortia Migrating Cancer Stem Cells program (MCSCs; www.mcscs.eu) and TuMIC (integrated concept of tumor metastasis (http://itgmv1.fzk.de/www/tumic/tumic_main.htm). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pgen.1000721","PLoS Genetics","2009-11-13","Research Article","Financial support was provided by grants BFU2006/06003/BMC and BFU2009-12895-C02-01/BMC (Ministerio de Ciencia e Innovación Spain) to A. Latorre and European Community's Seventh Framework Programme (FP7/2007–2013) under grant agreement number 212894 and Prometeo/2009/092 (Conselleria D'Educació, Generalitat Valenciana, Spain) to A. Moya. M. J. López-Sánchez and R. Patiño-Navarrete were recipients of a fellowship from Ministerio de Educación y Ciencia, Spain. A. Neef is supported by an Intra-European Marie Curie fellowship (LSHM-CT-2005_019023) from the European Union. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
